year,haremp,idlep,haremg,idleg,mkillp,mkillg,fkillp,fkillg,omkillp,omkillg,pbornp,methodp,pborng,methodg,pdeadp,pdeadg,ofkillp,ofkillg,comment,stock,sep,seg
1909,1132,138,,,,,,,,,,,,,,,,,,,,
1910,267,32,,,,,,,,,,,,,,,,,,,,
1911,1045,155,266,71,8807,1915,0,0,797,380,,,,,,,,,,,,
1912,1012,88,281,20,1687,459,0,0,920,103,66727,counts,11949,counts,,,,,,,,
1913,1069,76,261,25,1308,329,0,0,483,286,75436,counts,12811,counts,,,,,,,,
1914,1316,159,244,13,1198,706,0,0,566,265,74956,counts,13867,counts,1453,220,,,,,,
1915,1789,546,362,127,1159,994,0,0,1507,287,88137,counts,15390,counts,1607,204,,,,,,
1916,2948,2278,552,354,2747,2479,0,0,735,505,98855,counts,18122,counts,2170,312,,,,,,
1917,4164,2276,684,365,3694,2417,0,0,1292,766,108689,counts,19335,counts,3437,413,,,,,,
1918,4610,2245,734,199,26213,7000,0,0,1290,387,122617,counts,20298,counts,3873,429,,,,,,
1919,4343,2068,585,81,22364,3348,47,6,1626,395,133914,counts,23258,counts,4298,536,3,1,,,,
1920,3542,1062,524,83,21739,4026,67,11,413,390,143275,counts,24252,counts,3720,499,1,1,,,,
1921,3443,711,466,36,18446,4027,52,20,713,394,149865,counts,26790,counts,3840,557,2,2,,,,
1922,3184,493,378,15,25131,4828,70,20,831,269,158886,counts,27028,counts,2755,468,2,1,,,,
1923,3051,303,361,9,10939,2294,151,22,1676,742,169363,,28296,,2969,489,23,7,,,,
1924,3127,375,389,15,12978,3601,137,25,309,135,172528,ratio,35868,ratio,4354,755,3,1,,,,
1925,3103,283,423,28,14386,4541,83,23,589,213,184451,8% increase applied,41639,8% increase applied,3134,726,3,1,,,,
1926,3478,368,556,55,15411,5586,59,32,715,280,199146,8% increase applied,44968,8% increase applied,3383,783,3,2,,,,
1927,3916,846,727,126,18474,5657,7,22,493,262,215001,8% increase applied,48565,8% increase applied,3652,848,0,1,,,,
1928,5059,1208,991,241,22382,7756,31,27,564,299,232274,8% increase applied,52451,8% increase applied,3946,915,1,1,,,,
1929,5998,1339,1189,294,32677,6547,39,5,499,300,250844,8% increase applied,56647,8% increase applied,4259,987,1,0,,,,
1930,6823,1555,1489,344,34348,8098,33,18,,,270905,8% increase applied,61179,8% increase applied,4599,1065,,,,,,
1931,7557,1519,1676,369,39913,9541,44,18,,,292569,8% increase applied,66073,8% increase applied,4970,1152,,,,,,
1932,8268,1940,1820,409,39442,9783,45,59,,,315961,8% increase applied,71359,8% increase applied,5369,1244,,,,,,
1933,8334,1933,1879,408,44412,10059,36,43,,,341232,8% increase applied,77067,8% increase applied,5797,1343,,,,,,
1934,8841,1860,1929,422,42925,10483,47,13,,,368519,8% increase applied,83232,8% increase applied,6262,1452,,,,,,
1935,9444,2082,2103,453,45607,11454,217,18,,,397993,8% increase applied,89890,8% increase applied,6763,1568,,,,,,
1936,10055,2253,2266,480,43363,8864,159,60,,,429767,8% increase applied,97081,8% increase applied,7303,1693,,,,,,
1937,10689,2516,2411,515,43951,11059,117,53,,,464134,8% increase applied,104848,8% increase applied,7888,1827,,,,,,
1938,10720,1787,2440,338,45952,12213,130,69,,,501264,8% increase applied,113235,8% increase applied,8519,1976,,,,,,
1939,9122,2616,1858,357,47547,12765,99,62,,,541339,8% increase applied,122295,8% increase applied,9199,2134,,,,,,
1940,9662,3968,1988,571,50979,13554,243,80,,,584641,8% increase applied,132078,8% increase applied,9937,2303,,,,,,
1941,10089,5059,1942,396,77341,15461,1990,221,,,630602,8% increase applied,142644,8% increase applied,18350,2486,,,,,,
1942,10515,4340,2023,364,119,31,0,0,,,672152,7% increase applied,152629,7% increase applied,11457,2662,,,,,,
1943,10948,3523,2107,330,94706,21701,636,121,,,716612,7% increase applied,163313,7% increase applied,12195,2847,,,,,,
1944,11080,2539,2294,450,39744,7789,102,17,,,764183,7% increase applied,174745,7% increase applied,12987,3046,,,,,,
1945,10750,4055,2434,750,58197,18194,479,94,,,815086,7% increase applied,186978,7% increase applied,13833,3260,,,,,,
1946,10566,3605,2430,611,52037,11991,402,93,,,869552,7% increase applied,200066,7% increase applied,14738,3489,,,,,,
1947,10160,3331,1808,479,49543,11610,237,57,,,919499,6% increase applied,212068,6% increase applied,15569,3697,,,,,,
1948,10386,3400,1814,563,58076,11817,204,45,,,,,,,20600,,,,,,,
1949,9554,2976,1746,552,57249,13404,196,41,,,413531,?counts,55373,app by sp,,,,,,,,
1950,9292,3102,1959,574,48561,11360,135,34,,,451000,Chap. cum est,,,53420,,,,Chapman 1981. the northern fur seal - an example of complexity.,,,
1951,9434,3581,1825,549,50419,10084,154,32,,,447000,Chap. cum est,,,70663,,,,Chapman 1981. the northern fur seal - an example of complexity.,2091061,,
1952,9318,4717,1983,605,51401,12269,159,41,,,438000,Chap. cum est,,,,,,,Chapman 1981. the northern fur seal - an example of complexity.,2194333,,
1953,9848,5912,2285,826,54469,11355,216,28,,,445000,Chap. cum est,,,78212,8668,,,Chapman 1981. the northern fur seal - an example of complexity.,2184479,,
1954,9906,6847,2228,1311,49699,13525,540,118,,,450000,Chap. cum est,,,96178,9656,,,Chapman 1981. the northern fur seal - an example of complexity.,2189406,,
1955,9034,8650,2130,1902,49977,14750,641,85,,,461000,Chap. cum est,,,75544,,,,Chapman 1981. the northern fur seal - an example of complexity.,2227183,,
1956,9384,9016,,,75533,20201,18433,4247,65,50,453000,Chap. cum est,,,98707,15108,2067,2230,Chapman 1981. the northern fur seal - an example of complexity.,2240322,,
1957,9562,10060,2423,2693,35052,11196,37554,9859,,,420000,Chap. cum est,,,61662,9304,,,Chapman 1981. the northern fur seal - an example of complexity.,2191048,,
1958,9970,9510,2619,3030,34401,10295,23957,7144,,,387000,Chap. cum est,,,31187,4756,,,Chapman 1981. the northern fur seal - an example of complexity.,2069506,,
1959,10003,11485,2527,2699,24495,5700,24207,3855,,,335000,Chap. cum est,,,39964,6937,,,Chapman 1981. the northern fur seal - an example of complexity.,1875695,,
1960,10247,10407,2552,2630,29137,7183,3297,1018,,,320000,Chap. cum est,,,62828,8503,,,Chapman 1981. the northern fur seal - an example of complexity.,1711449,,
1961,11163,11791,2843,2489,67169,15028,10499,3623,0,0,342335,shr all rk,,,57867,9763,24587,5140,,1638090,,
1962,10332,9109,2342,2650,43203,10477,35003,8757,,,300828,shr all rk,,,45268,5921,,,,1542955,,
1963,9212,7650,2071,1890,31881,10505,35093,8859,,,262498,shr all rk,,,32598,4772,,,,1448510,,
1964,9085,7095,1989,1489,37789,11191,12034,4418,,,283922,shr all rk,,,21572,2277,,,,1352566,,
1965,8553,5616,1917,1113,34966,7156,7530,2902,,,253768,shr all rk,,,39124,4979,,,,1314280,,
1966,7974,5839,1974,1017,42104,10393,391,0,,,319045,shr all rk,69406,shr all rk,23536,4648,,,,1367154,,
1967,7230,4439,1646,1268,43188,12532,7502,2594,,,291000,ratio/shear,,,14076,2520,,,,1378780,,
1968,6176,3100,1748,1283,36625,9000,10544,2791,0,,235000,ratio/shear,,,25298,4643,,,,1347954,,
1969,5467,2208,1457,677,32621,6057,230,0,,,232870,shr all rk,,,13279,1531,,,,1246417,,
1970,4945,1666,1466,1277,36197,5924,120,0,,,230485,shr all rk,54366,shr all rk,20581,3267,,,,1142746,,
1971,4200,1900,1235,534,27242,4553,54,0,,,,,,,46439,5220,,,,0,,
1972,,,,,33110,4204,79,0,,,269000,ratio/shear,,,22649,2484,,,,1224164,,
1973,,,875,375,28457,0,25,0,,,236500,ratio/shear,60335,shr all rk,21500,2661,,,,1264835,,
1974,,,822,481,32976,0,51,0,,,269000,ratio/shear,,,13200,1353,,,,1265861,,
1975,5018,3535,877,1427,29093,0,55,0,,,278261,shr all rk,,,20625,3289,,,,1260154,8620,
1976,5324,4041,1093,996,23081,200,15,0,,,291000,jack-ratio(ay),,,23676,2289,,,,1338238,11108,
1977,6457,3845,1610,899,28396,350,48,0,,,235200,take ratio,43407,shr all rk,14083,1208,,,,1286655,,748
1978,6496,3908,1590,1220,24829,292,56,6,,,247100,take ratio,47248,shr all rk,8073,2518,,,,1236556,,1009
1979,6242,4457,1716,1942,25702,351,60,0,,,245932,shr all rk,,,6444,2191,,,,1153826,9464,
1980,5490,4248,1563,1795,24278,348,49,2,,,203825,ratio/shear,,,7859,2385,,,,1100545,11672,
1981,5120,4003,1472,1646,23892,348,36,0,,,179444,ratio/shear,38152,shr all rk,6798,2025,,,,998266,5876,1581
1982,5767,4009,1410,1319,24730,349,98,0,,,203581,ratio/shear,,,7301,1660,,,,931642,3482,
1983,4827,4242,,,25728,500,40,0,,,165941,ratio/shear,31440,shr all rk,5997,903,,,,876691,6034,2930
1984,4803,3977,1473,1452,22034,350,32,0,,,173274,ratio/shear,,,6115,,,,,865842,8117,
1985,4372,3363,1286,1601,3379,329,5,0,,,182258,ratio/shear,28869,shr all rk,5266,806,,,,816891,7997,2297
1986,4603,1865,1394,1342,1299,124,16,0,,,167656,ratio/shear,,,7771,,,,,814552,5086,
1987,3636,1892,1303,1283,1704,92,6,0,,,171610,shr all rk,,,7757,,,,pdeadp incl lpol est 16,848780,3218,
1988,3585,3201,1259,1258,1145,113,0,0,,,202229,ratio/shear,24819,shr all rk,7199,1211,,,,86460,3751,827
1989,4297,6400,1241,1163,1340,181,0,0,,,171534,ratio/shear,,,9096,,,,,,25867,
1990,4430,7629,909,1666,1077,164,0,0,,,201305,shr all rk,23397,shr all rk,9136,928,,,pdeadp incl lpol est 31,1013000,3724,2054
1991,4729,9453,736,1271,1644,281,1,,,,,,,,,,,,,0,,
1992,5460,10940,1028,1834,1480,194,2,,,,182437,shr all rk,25160,shr all rk,8525,806,,,,1012000,8918,707
1993,6405,9301,1123,1422,1518,319,,,,,,,,,,,,,,,,
1994,5715,10014,1179,1481,1615,161,1,,,,192104,shr all rk,22244,shr all rk,8180,788,,,pdeadp incl lpol est 22,1014000,2029,410
1995,5154,8459,1242,1054,1263,259,2,1,,,,,,,,,,,,,,
1996,5643,9239,1248,790,1588,232,3,,,,170125,6 sample rks,27385,shr all rk,,719,,,dead pups on samp rks (sp,980000,21244,294
1997,5064,8560,910,1474,1153,227,,,,,,,,,,,,,,,,
1998,4762,8396,1116,1084,1297,256,5,0,,,179149,7 sample rks,22090,shr all rk,,452,,,,983918,6193,222
1999,3767,7589,1052,916,1000,193,,,,,,,,,,,,,,,,
2000,3646,6998,871,1300,754,121,1,0,,,158736,6 sample rks,20176,shr all rk,,756,,,,,17284,271
2001,3388,7174,843,1596,595,184,2,,,,,,,,,,,,,,,
2002,3669,7877,899,1265,646,202,2,1,,,145716,shr all rk,17593,shr all rk,4777,533,,,"incl lpol est of dead 2, live 73",,1629,527
2003,3652,7572,716,1158,522,132,,,,,,,,,,,,,,,,
2004,3286,5045,760,905,493,121,,2,,,122825,shr all rk,16876,shr all rk,4041,415,,,,,1290,239
2005,3515,5811,905,634,479,139,,,,,,,,,,,,,,,,
2006,3669,6283,720,650,392,212,4,,,,109961,shr all rk (dead on 4),17072,shr all rk (dead on 3),4994,712,,,,,1520,144
2007,3568,5270,744,559,269,208,3,2,,,,,,,,,,,,,,
2008,4119,5050,805,638,329,170,3,,,,102674,shr all rk (dead on 4),18160,shr all rk (dead on 3),5503,985,,,"missing data for VOS, dbl cnt in one section",,1084,288
2009,4121,5226,873,824,341,113,,1,,,,,,,,,,,,,,
2010,3974,4840,830,1030,357,78,,,,,94502,shr all rk (dead on 4),17973,shr all rk (dead on 3),5284,959,,,,,1120,323
2011,3829,5139,842,1112,322,120,1,,,,,,,,,,,,,,,
2012,3336,3657,852,1055,383,63,,1,,,96828,shr all rk (dead on 4),16184,shr all rk (dead on 3),3623,498,,,,,1260,155
2013,3794,4042,953,915,297,80,3,,,,,,,,,,,,,,,
2014,3362,3504,876,1108,262,103,4,1,,,91737,shr all rk (dead on 4),18937,shr all rk (dead on 3),2722,502,,,,,769,308
2015,3356,3674,989,688,312,61,2,,,,,,,,,,,,,,,
2016,3386,2643,898,588,308,37,1,,,,80641,shr all rk (dead on 4),20490,shr all rk (dead on 3),2181,229,,,,,717,460
2017,3061,3207,,,217,38,,,,,,,,,,,,,,,,
2018,2962,2838,979,829,225,62,,,,,75725,shr all rk (dead on 4),21609,shr all rk (dead on 3),681,198,,,,,1008,340
